posto,time_division,model_id,p,h,h_std,avg_cv_mse,total_aic
ITAIPU,dia,4,5,2,1,,106862.24893893462
ITAIPU,dia,4,5,2,2,,106866.2489389346
ITAIPU,dia,4,5,2,3,,106870.2489389346
ITAIPU,dia,4,5,2,4,,106874.24893893462
ITAIPU,dia,4,5,2,5,,106878.24893893459
ITAIPU,dia,4,5,3,1,,106917.652583159
ITAIPU,dia,4,5,3,2,,106921.652583159
ITAIPU,dia,4,5,3,3,,106925.652583159
ITAIPU,dia,4,5,3,4,,106929.652583159
ITAIPU,dia,4,5,3,5,,106933.65258315898
ITAIPU,dia,4,5,4,1,,106918.97929503015
ITAIPU,dia,4,5,4,2,,106922.97929503015
ITAIPU,dia,4,5,4,3,,106926.97929503015
ITAIPU,dia,4,5,4,4,,106930.97929503015
ITAIPU,dia,4,5,4,5,,106934.97929503013
ITAIPU,dia,4,5,5,1,,106929.49747011291
ITAIPU,dia,4,5,5,2,,106933.49747011291
ITAIPU,dia,4,5,5,3,,106937.49747011291
ITAIPU,dia,4,5,5,4,,106941.49747011291
ITAIPU,dia,4,5,5,5,,106945.4974701129
ITAIPU,sem,1,1,1,0,,17140.845601006604
ITAIPU,sem,1,1,2,0,,17140.257169840144
ITAIPU,sem,1,1,3,0,,17134.88185140377
ITAIPU,sem,1,1,4,0,,17138.643958561737
ITAIPU,sem,1,1,5,0,,17138.66941656263
ITAIPU,sem,1,2,1,0,,17141.181742598572
ITAIPU,sem,1,2,2,0,,17140.674435245062
ITAIPU,sem,1,2,3,0,,17135.639400903237
ITAIPU,sem,1,2,4,0,,17139.392567472496
ITAIPU,sem,1,2,5,0,,17139.6138913079
ITAIPU,sem,1,3,1,0,,17120.08453858137
ITAIPU,sem,1,3,2,0,,17118.77855308012
ITAIPU,sem,1,3,3,0,,17112.07969284791
ITAIPU,sem,1,3,4,0,,17115.88549837212
ITAIPU,sem,1,3,5,0,,17114.811712748728
ITAIPU,sem,1,4,1,0,,17115.98145461514
ITAIPU,sem,1,4,2,0,,17114.801845331152
ITAIPU,sem,1,4,3,0,,17106.99203612637
ITAIPU,sem,1,4,4,0,,17110.682983982584
ITAIPU,sem,1,4,5,0,,17109.82689365508
ITAIPU,sem,1,5,1,0,,17112.798607707817
ITAIPU,sem,1,5,2,0,,17110.927818196124
ITAIPU,sem,1,5,3,0,,17101.349702106134
